"R0000100","R0069300","R0069400","R0069600","R0070400","R0070500","R0074300","R0357900","R0358300","R0504200","R0515100","R0536300","R0536401","R0536402","R1205300","R1205400","R1211000","R1217500","R1482600","R9788600","R9788700","R9788800","R9788900","R9793100","R9864300","R9871900"
1,2,1,4,5,4,-4,1,1,-4,100,2,9,1981,1,6,2,1,4,2,2,2,4,2,300,309
2,3,2,2,1,4,3,0,0,-4,-4,1,7,1982,2,4,4,1,2,2,2,2,11,-3,350,217
3,1,2,2,4,2,4,0,1,-4,-4,2,9,1983,4,2,1,1,2,-4,-4,-4,-4,-4,-4,-4
4,4,2,1,5,5,-4,0,1,-4,100,2,2,1981,4,2,1,1,2,2,2,2,8,3,200,253
5,3,2,4,3,1,2,1,1,-4,-4,1,10,1982,1,4,2,1,2,2,2,2,4,2,300,243
6,21,2,2,5,3,7,0,0,-4,-4,2,1,1982,4,5,1,1,2,-3,-3,-3,8,-3,0,162
7,17,2,3,5,2,5,0,0,-4,-4,1,4,1983,4,5,1,1,2,-4,-4,-4,-4,-4,-4,-4
8,0,1,2,2,1,-4,0,0,-4,100,2,6,1981,1,5,2,1,4,2,2,1,7,-3,400,281
9,5,1,3,2,3,4,0,0,-4,-4,1,10,1982,1,5,2,1,4,2,2,2,4,2,400,286
10,3,1,3,1,1,4,0,0,-4,-4,1,3,1984,1,5,2,1,4,2,2,1,4,-3,400,362
11,3,2,2,5,4,5,1,1,-4,-4,2,6,1982,4,3,1,1,2,-3,-3,-3,9,-3,350,283
12,-2,2,1,3,2,-4,0,0,-4,95,1,10,1981,2,4,1,1,2,-3,-3,-3,8,-3,100,239
13,0,2,3,1,-2,1,0,0,-4,-4,1,11,1984,4,4,1,1,2,-3,-3,-3,11,-3,200,234
14,1,2,2,1,1,-4,0,0,-4,70,1,7,1980,1,4,1,1,2,-4,-4,-4,-4,-4,-4,-4
15,1,2,2,3,1,3,0,0,-4,-4,2,1,1983,1,4,1,1,2,2,2,2,8,1,200,341
16,6,2,2,3,2,6,1,1,-4,-4,1,2,1982,4,2,1,1,2,2,2,2,17,-3,300,192
17,-2,2,1,3,-2,-4,1,0,-4,90,2,11,1981,2,8,1,1,2,-3,-3,-3,4,-3,50,-9
18,26,3,2,4,5,10,0,1,-4,-4,1,2,1982,4,6,1,1,1,-4,-4,-4,-4,-4,-4,-4
19,10,4,3,5,1,8,0,0,-4,-4,1,4,1984,4,6,1,1,1,2,2,2,2,-3,0,300
20,14,1,3,3,4,-4,0,1,-4,100,1,12,1980,4,4,1,1,1,-4,-4,-4,-4,-4,-4,-4
21,16,2,3,2,3,3,1,1,-4,-4,1,8,1982,4,4,1,1,2,2,2,2,1,-3,0,280
22,0,4,1,5,3,6,1,1,-4,-4,1,6,1982,4,2,1,1,2,-4,-4,-4,-4,-4,-4,-4
23,-2,2,2,5,3,2,0,0,-4,-4,2,1,1983,4,4,1,1,2,2,2,2,8,5,-6,-7
24,40,2,2,3,1,2,0,0,-4,-4,1,6,1984,2,6,1,1,2,-4,-4,-4,-4,-4,-4,-4
25,-2,2,3,5,-2,3,0,0,-4,-4,2,3,1983,1,5,1,1,2,2,1,2,4,-3,0,-7
26,0,2,1,4,5,-4,0,0,-4,100,1,10,1980,4,4,4,1,1,2,2,2,8,-3,100,203
27,-2,2,2,5,5,-4,1,1,-4,80,1,5,1981,4,6,1,1,1,-4,-4,-4,-4,-4,-4,-4
28,0,1,2,1,1,4,0,0,-4,-4,2,11,1983,2,4,1,1,1,2,2,2,8,4,250,248
29,0,2,2,3,2,2,1,0,-4,-4,2,1,1983,1,4,4,1,4,-4,-4,-4,-4,-4,-4,-4
30,-2,2,4,3,-2,-4,0,0,-4,-3,1,6,1981,1,4,2,1,4,-4,-4,-4,-4,-4,-4,-4
31,2,2,2,3,1,2,0,0,-4,-4,1,7,1982,1,5,1,1,4,2,2,2,19,5,-8,-8
32,5,1,1,3,1,-4,1,0,-4,95,2,7,1981,1,4,1,1,4,2,2,2,4,-3,100,275
33,2,2,3,4,3,-4,0,1,-4,75,2,12,1980,1,5,2,1,4,2,2,2,4,-3,400,391
34,3,1,2,1,1,3,1,1,-4,-4,2,12,1984,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
35,0,1,4,-2,1,-3,0,0,-4,-4,1,1,1983,1,4,1,1,4,2,2,2,16,5,350,315
36,23,3,2,4,3,-4,1,1,-4,75,2,8,1980,1,4,1,1,4,2,2,2,8,5,-6,-7
37,2,2,3,2,2,-4,0,0,-4,90,2,11,1980,1,4,1,1,4,2,2,2,19,5,375,239
38,2,2,4,3,2,-4,0,0,-4,90,2,9,1981,1,4,1,1,4,-3,-3,-3,8,-3,350,284
39,1,3,2,3,2,-4,1,1,-4,85,1,2,1980,1,4,2,1,2,-4,-4,-4,-4,-4,-4,-4
40,4,4,1,1,1,6,0,0,-4,-4,2,5,1984,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
41,1,1,2,1,1,5,0,0,-4,-4,2,1,1983,1,11,1,1,4,1,2,2,14,5,375,250
42,0,2,3,1,1,5,0,0,-4,-4,1,8,1983,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
43,1,2,2,4,1,-4,0,0,-4,-2,2,10,1981,4,4,4,1,1,2,2,2,9,-3,275,243
44,10,1,1,4,3,-4,0,0,-4,100,1,12,1981,1,5,1,1,2,-4,-4,-4,-4,-4,-4,-4
45,0,4,2,3,1,4,0,0,-4,-4,2,2,1984,4,7,1,1,1,2,2,2,8,-3,300,159
46,0,3,3,3,3,3,0,0,-4,-4,1,2,1984,4,7,1,1,1,-4,-4,-4,-4,-4,-4,-4
47,10,2,1,4,2,7,0,0,-4,-4,2,9,1982,8,3,1,1,1,-4,-4,-4,-4,-4,-4,-4
48,3,2,1,3,1,3,1,1,-4,-4,2,7,1983,8,3,1,1,1,-4,-4,-4,-4,-4,-4,-4
49,0,2,2,3,3,10,0,0,-4,-4,2,12,1982,2,3,1,1,1,2,2,-3,11,2,500,237
50,0,4,2,3,3,1,0,0,-4,-4,2,2,1983,4,3,1,1,1,-4,-4,-4,-4,-4,-4,-4
51,2,2,3,-2,-2,-4,0,-1,-4,75,1,6,1980,4,5,1,1,1,2,2,2,6,-3,250,101
